No_Vuelo,origin,destination,origin_latitude,origin_longitude,destination_latitude,destination_longitude
1184,MTY,DFW,25.7785,-100.107,32.8968,-97.038
1185,MTY,DFW,25.7785,-100.107,32.8968,-97.038
1186,MTY,DFW,25.7785,-100.107,32.8968,-97.038
1187,MTY,DFW,25.7785,-100.107,32.8968,-97.038
1188,MTY,DFW,25.7785,-100.107,32.8968,-97.038
1189,MTY,DFW,25.7785,-100.107,32.8968,-97.038
1190,MTY,DFW,25.7785,-100.107,32.8968,-97.038
1191,MTY,DFW,25.7785,-100.107,32.8968,-97.038
1192,MTY,DFW,25.7785,-100.107,32.8968,-97.038
1193,MTY,DFW,25.7785,-100.107,32.8968,-97.038
1194,MTY,DFW,25.7785,-100.107,32.8968,-97.038
1195,MTY,DFW,25.7785,-100.107,32.8968,-97.038
1196,MTY,DFW,25.7785,-100.107,32.8968,-97.038
1197,MTY,DFW,25.7785,-100.107,32.8968,-97.038
1198,MTY,DFW,25.7785,-100.107,32.8968,-97.038
1199,MTY,DFW,25.7785,-100.107,32.8968,-97.038
1200,MTY,DFW,25.7785,-100.107,32.8968,-97.038
1201,MTY,DFW,25.7785,-100.107,32.8968,-97.038
1202,MTY,DFW,25.7785,-100.107,32.8968,-97.038
1203,MTY,DFW,25.7785,-100.107,32.8968,-97.038
1204,MTY,DFW,25.7785,-100.107,32.8968,-97.038
1205,MTY,DFW,25.7785,-100.107,32.8968,-97.038
1206,MTY,DFW,25.7785,-100.107,32.8968,-97.038
1207,MTY,DFW,25.7785,-100.107,32.8968,-97.038
1208,MTY,DFW,25.7785,-100.107,32.8968,-97.038
1209,MTY,DFW,25.7785,-100.107,32.8968,-97.038
1210,MTY,DFW,25.7785,-100.107,32.8968,-97.038
1211,MTY,DFW,25.7785,-100.107,32.8968,-97.038
1212,MTY,DFW,25.7785,-100.107,32.8968,-97.038
1213,MTY,DFW,25.7785,-100.107,32.8968,-97.038
1214,MTY,DFW,25.7785,-100.107,32.8968,-97.038
1215,MTY,DFW,25.7785,-100.107,32.8968,-97.038
1216,MTY,DFW,25.7785,-100.107,32.8968,-97.038
1217,MTY,DFW,25.7785,-100.107,32.8968,-97.038
1218,MTY,DFW,25.7785,-100.107,32.8968,-97.038
1219,MTY,DFW,25.7785,-100.107,32.8968,-97.038
1220,MTY,DFW,25.7785,-100.107,32.8968,-97.038
1221,MTY,DFW,25.7785,-100.107,32.8968,-97.038
1222,QRO,DFW,20.6173,-100.186,32.8968,-97.038
1223,QRO,DFW,20.6173,-100.186,32.8968,-97.038
1224,QRO,DFW,20.6173,-100.186,32.8968,-97.038
1225,QRO,DFW,20.6173,-100.186,32.8968,-97.038
1226,QRO,DFW,20.6173,-100.186,32.8968,-97.038
1227,QRO,DFW,20.6173,-100.186,32.8968,-97.038
1228,QRO,DFW,20.6173,-100.186,32.8968,-97.038
1229,QRO,DFW,20.6173,-100.186,32.8968,-97.038
1230,QRO,DFW,20.6173,-100.186,32.8968,-97.038
1231,QRO,DFW,20.6173,-100.186,32.8968,-97.038
1232,PVR,DFW,20.6801,-105.254,32.8968,-97.038
1233,QRO,DFW,20.6173,-100.186,32.8968,-97.038
1234,QRO,DFW,20.6173,-100.186,32.8968,-97.038
1235,QRO,DFW,20.6173,-100.186,32.8968,-97.038
1236,QRO,DFW,20.6173,-100.186,32.8968,-97.038
1237,QRO,DFW,20.6173,-100.186,32.8968,-97.038
1238,QRO,DFW,20.6173,-100.186,32.8968,-97.038
1239,QRO,DFW,20.6173,-100.186,32.8968,-97.038
1240,QRO,DFW,20.6173,-100.186,32.8968,-97.038
1241,QRO,DFW,20.6173,-100.186,32.8968,-97.038
1242,QRO,DFW,20.6173,-100.186,32.8968,-97.038
1243,AGU,DFW,21.7056,-102.318,32.8968,-97.038
1244,AGU,DFW,21.7056,-102.318,32.8968,-97.038
1245,AGU,DFW,21.7056,-102.318,32.8968,-97.038
1246,AGU,DFW,21.7056,-102.318,32.8968,-97.038
1247,AGU,DFW,21.7056,-102.318,32.8968,-97.038
1248,AGU,DFW,21.7056,-102.318,32.8968,-97.038
1249,AGU,DFW,21.7056,-102.318,32.8968,-97.038
1250,AGU,DFW,21.7056,-102.318,32.8968,-97.038
1251,AGU,DFW,21.7056,-102.318,32.8968,-97.038
1252,AGU,DFW,21.7056,-102.318,32.8968,-97.038
