No_Vuelo,origin,destination,origin_latitude,origin_longitude,destination_latitude,destination_longitude
1520,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1521,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1522,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1523,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1524,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1525,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1526,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1527,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1528,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1529,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1530,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1531,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1532,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1533,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1534,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1535,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1536,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1537,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1538,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1539,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1540,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1541,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1542,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1543,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1544,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1545,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1546,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1547,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1548,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1549,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1550,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1551,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1552,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1553,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1554,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1555,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1556,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1557,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1558,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1559,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1560,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1561,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1562,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1563,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1564,MEX,GDL,19.4363,-99.0721,20.5218,-103.311
1565,MEX,GDL,19.4363,-99.0721,20.5218,-103.311
1566,CJS,MEX,31.6361,-106.429,19.4363,-99.0721
1567,CJS,MEX,31.6361,-106.429,19.4363,-99.0721
1568,MEX,PVR,19.4363,-99.0721,20.6801,-105.254
1569,MEX,PVR,19.4363,-99.0721,20.6801,-105.254
1570,MEX,GDL,19.4363,-99.0721,20.5218,-103.311
1571,MEX,GDL,19.4363,-99.0721,20.5218,-103.311
1572,MEX,GDL,19.4363,-99.0721,20.5218,-103.311
1573,MEX,GDL,19.4363,-99.0721,20.5218,-103.311
1574,PVR,MEX,20.6801,-105.254,19.4363,-99.0721
1575,PVR,MEX,20.6801,-105.254,19.4363,-99.0721
1576,MEX,ZCL,19.4363,-99.0721,22.8971,-102.687
1577,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1578,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1579,MEX,CDG,19.4363,-99.0721,49.0128,2.55
